Mineral_Name,Mineral_Name_plain,Mineral_Name_(HTML),Structural_Groupname,Valence_Elements,Oldest_Known_Age_Ma,Fe_AMCSD,Co_AMCSD,Cu_AMCSD,Mn_AMCSD,Mo_AMCSD,Ni_AMCSD,V_AMCSD,W_AMCSD,Zn_AMCSD,Retrieved(Y/N)
,Cuprite,Cuprite,,Cu^1+ O,4000,NA,,,,,,,,,
,Hemimorphite,Hemimorphite,,Zn^2+ Si O H,4000,NA,,,,,,,,,
,Jalpaite,Jalpaite,,Ag^1+ Cu^1+ S^2-,4000,NA,,,,,,,,,
,Mckinstryite,Mckinstryite,,Ag Cu S,4000,NA,,,,,,,,,
,Parkerite,Parkerite,,Ni Bi Pb S,4000,NA,,,,,,,,,
,Shandite,Shandite,,Pb Ni S,4000,NA,,,,,,,,,
,Stromeyerite,Stromeyerite,,Cu Ag S,4000,NA,,,,,,,,,
,Tenorite,Tenorite,,Cu^2+ O,3351,NA,,,,,,,,,
,Pseudomalachite,Pseudomalachite,,Cu^2+ P^5+ O H,3200,NA,,,,,,,,,
,Vauquelinite,Vauquelinite,,Cu^2+ Pb^2+ Cr^6+ O P^5+ H,3200,NA,,,,,,,,,
,Sampleite,Sampleite,,Na Ca Cu^2+ P^5+ O Cl H,3110,NA,,,,,,,,,
,Todorokite,Todorokite,,Na Ca K Ba Sr Mn^4+ Mn^3+ Mg Al O H,3110,NA,,,,,,,,,
,Vysotskite,Vysotskite,,Pd^2+ Ni^2+ S^2-,3100,NA,,,,,,,,,
,Manganite,Manganite,,Mn^3+ O H,2950,NA,,,,,,,,,
,Clinobisvanite,Clinobisvanite,,Bi^3+ V^5+ O,2918,NA,,,,,,,,,
,Metatorbernite,Metatorbernite,,Cu^2+ U^6+ O P^5+ H,2860,NA,,,,,,,,,
,Tomichite,Tomichite,,V^3+ Ti^4+ As^3+ O H,2816,NA,,,,,,,,,
,Caledonite,Caledonite,,Cu^2+ Pb^2+ S^6+ O C H,2770,NA,,,,,,,,,
,Djurleite,Djurleite,,Cu S,2770,NA,,,,,,,,,
,Hydrozincite,Hydrozincite,,Zn^2+ C O H,2770,NA,,,,,,,,,
,Posnjakite,Posnjakite,,Cu^2+ S^6+ O H,2724,NA,,,,,,,,,
,Retgersite,Retgersite,,Ni^2+ S^6+ O H,2719,NA,,,,,,,,,
,Junoite,Junoite,,Cu Pb Bi S Se,2716,NA,,,,,,,,,
,Kambaldaite,Kambaldaite,,Na Ni^2+ C^4+ O H,2710,NA,,,,,,,,,
,Nickelbischofite,Nickelbischofite,,Ni^2+ Cl H O,2710,NA,,,,,,,,,
,Chalcophanite,Chalcophanite,,Zn^2+ Mn^4+ O H,2709,NA,,,,,,,,,
,Lavendulan,Lavendulan,,Na Ca Cu^2+ As^5+ O Cl H,2709,NA,,,,,,,,,
,Putnisite,Putnisite,,Sr Ca Cr^3+ C O S^6+ H,2709,NA,,,,,,,,,
,Bayldonite,Bayldonite,,Cu^2+ Pb^2+ O As^5+ H,2700,NA,,,,,,,,,
,Clinoclase,Clinoclase,,Cu^2+ As^5+ O H,2700,NA,,,,,,,,,
,Cornwallite,Cornwallite,,Cu^2+ As^5+ O H,2700,NA,,,,,,,,,
,Legrandite,Legrandite,,Zn^2+ As^5+ O H,2700,NA,,,,,,,,,
,Ludjibaite,Ludjibaite,,Cu^2+ P^5+ O H,2700,NA,,,,,,,,,
,Rouaite,Rouaite,,Cu^2+ N^5+ O H,2700,NA,,,,,,,,,
,Veszelyite,Veszelyite,,Cu^2+ P O H,2700,NA,,,,,,,,,
,Koechlinite,Koechlinite,,Bi^3+ Mo^6+ O,2684,NA,,,,,,,,,
,Felbertalite,Felbertalite,,Cu Pb Bi S,2680,NA,,,,,,,,,
,Poppiite,Poppiite,,Ca V^3+ Si O H,2679.7,NA,,,,,,,,,
,Ercitite,Ercitite,,Na Mn^3+ P O H,2644,NA,,,,,,,,,
,Lithiophorite,Lithiophorite,,Al Li Mn^4+ O H,2628,NA,,,,,,,,,
,Torbernite,Torbernite,,Cu^2+ U^6+ O P H,2601,NA,,,,,,,,,
,Daomanite,Daomanite,,Cu Pt As S,2507,NA,,,,,,,,,
,Birnessite,Birnessite,,Na Ca K Mn^4+ Mn^3+ O H,2500,NA,,,,,,,,,
,Gerhardtite,Gerhardtite,,Cu^2+ N^5+ O H,2500,NA,,,,,,,,,
,Kyzylkumite,Kyzylkumite,,Ti^4+ V^3+ O H,2500,NA,,,,,,,,,
,Pyroxmangite,Pyroxmangite,,Mn^2+ Si O,2500,NA,,,,,,,,,
,Shcherbinaite,Shcherbinaite,,V^5+ O,2500,NA,,,,,,,,,
,Sulvanite,Sulvanite,,Cu^2+ V^3+ S^2-,2500,NA,,,,,,,,,
,Gageite,Gageite,,Mn^2+ Si O H,2400,NA,,,,,,,,,
,Gaudefroyite,Gaudefroyite,,Ca Mn^3+ B O C,2400,NA,,,,,,,,,
,Groutite,Groutite,,Mn^3+ O H,2400,NA,,,,,,,,,
,Inesite,Inesite,,Ca Mn^2+ Si O H,2400,NA,,,,,,,,,
,Nchwaningite,Nchwaningite,,Mn^2+ Si O H,2400,NA,,,,,,,,,
,Olmiite,Olmiite,,Ca Mn^2+ Si O H,2400,NA,,,,,,,,,
,Poldervaartite,Poldervaartite,,Ca Si O H,2400,NA,,,,,,,,,
,Rancieite,Ranci&#233;ite,,Ca Mn^2+ Mn^4+ Mn^3+ O H,2400,NA,,,,,,,,,
,Romanechite,Roman&#232;chite,,Ba H O Mn^4+ Mn^3+,2400,NA,,,,,,,,,
,Sussexite,Sussexite,,Mn^2+ B O H,2400,NA,,,,,,,,,
,Carnotite,Carnotite,,K U^6+ O V^5+ H,2390,NA,,,,,,,,,
,Spherocobaltite,Spherocobaltite,,Co^2+ C O,2223,NA,,,,,,,,,
,Wittichenite,Wittichenite,,Cu Bi S,2223,NA,,,,,,,,,
,Langite,Langite,,Cu^2+ S^6+ O H,2222.9,NA,,,,,,,,,
,Heterogenite,Heterogenite,,Co^3+ O H,2211,NA,,,,,,,,,
,Samsonite,Samsonite,,Ag^1+ Mn^2+ Sb^3+ S^2-,2211,NA,,,,,,,,,
,Chervetite,Chervetite,,Pb V^5+ O,2200,NA,,,,,,,,,
,Duttonite,Duttonite,,V^4+ O H,2200,NA,,,,,,,,,
,Molybdite,Molybdite,,Mo^6+ O,2200,NA,,,,,,,,,
,Guyanaite,Guyanaite,,Cr^3+ O H,2095,NA,,,,,,,,,
,Baotite,Baotite,,Ba Ti^4+ Nb^5+ W^6+ O Si Cl,2070,NA,,,,,,,,,
,Lopezite,L&#243;pezite,,K Cr^6+ O,2058,NA,,,,,,,,,
,Aurichalcite,Aurichalcite,,Zn^2+ C O H,2046,NA,,,,,,,,,
,Chiavennite,Chiavennite,,Ca Mn^2+ Be O H Si,2000,NA,,,,,,,,,
,Crednerite,Crednerite,,Cu^1+ Mn^3+ O,2000,NA,,,,,,,,,
,Tiragalloite,Tiragalloite,,Mn^2+ As^5+ Si O H,2000,NA,,,,,,,,,
,Wroewolfeite,Wroewolfeite,,Cu^2+ S^6+ O H,1910,NA,,,,,,,,,
,Armangite,Armangite,,Mn^2+ As^3+ O C H,1898,NA,,,,,,,,,
,Barysilite,Barysilite,,Pb^2+ Mn^2+ Si O,1898,NA,,,,,,,,,
,Blatterite,Blatterite,,Sb^5+ Mn^3+ Mn^2+ B O,1898,NA,,,,,,,,,
,Freedite,Freedite,,Cu^1+ Pb^2+ As^3+ O Cl,1898,NA,,,,,,,,,
,Ingersonite,Ingersonite,,Ca Mn^2+ Sb^5+ O,1898,NA,,,,,,,,,
,Langbanshyttanite,L&#229;ngbanshyttanite,,Pb^2+ Mn^2+ Mg As^5+ O H,1898,NA,,,,,,,,,
,Magnussonite,Magnussonite,,Mn^2+ As^3+ O H Cl,1898,NA,,,,,,,,,
