Type,PDB,Metal,Angle,Degrees,atomNames,resNames,resNums,chains,occs,Environment
Mineral,Djerfisherite_0006153.Cu_118_118_A.irr.pdb,CU,S_CU_S,90.0,S3_CU_S3,UNK_UNK_UNK,55_118_139, _A_ ,1.0_1.0_1.0,CU1S3
Mineral,Gudmundite_0000020.Fe_6_6_A.irr.pdb,FE,SB_FE_SB,81.3,SB_FE_SB,UNK_UNK_UNK,7_6_1, _A_ ,1.0_1.0_1.0,FE1SB3
Mineral,Djerfisherite_0006153.Cu_118_118_A.irr.pdb,CU,S_CU_S,90.0,S3_CU_S3,UNK_UNK_UNK,55_118_135, _A_ ,1.0_1.0_1.0,CU1S3
Mineral,Djerfisherite_0006153.Cu_118_118_A.irr.pdb,CU,S_CU_S,90.0,S3_CU_S3,UNK_UNK_UNK,139_118_135, _A_ ,1.0_1.0_1.0,CU1S3
Mineral,Gudmundite_0000020.Fe_6_6_A.irr.pdb,FE,SB_FE_SB,85.25,SB_FE_SB,UNK_UNK_UNK,7_6_10, _A_ ,1.0_1.0_1.0,FE1SB3
Mineral,Molybdenite_0011823.Mo_3_3_A.irr.pdb,MO,S_MO_S,78.37,S_MO_S,UNK_UNK_UNK,1_3_2, _A_ ,1.0_1.0_1.0,MO1S2
Mineral,Gudmundite_0000020.Fe_6_6_A.irr.pdb,FE,SB_FE_SB,76.97,SB_FE_SB,UNK_UNK_UNK,1_6_10, _A_ ,1.0_1.0_1.0,FE1SB3
Mineral,Groutite_0013941.Mn_7_7_A.irr.pdb,MN,O_MN_O,78.21,O2_MN_O2,UNK_UNK_UNK,1_7_10, _A_ ,1.0_1.0_1.0,MN1O2
Mineral,Hennomartinite_0001769.Mn_30_30_A.irr.pdb,MN,O_MN_O,91.6,O3_MN_O23,UNK_UNK_UNK,21_30_6, _A_ ,1.0_1.0_1.0,MN1O3
Mineral,Duttonite_0009204.V_5_5_A.irr.pdb,V,O_V_O,81.63,O-H2_V_O-H2,UNK_UNK_UNK,3_5_8, _A_ ,1.0_1.0_1.0,V1O2
Mineral,Hennomartinite_0001769.Mn_30_30_A.irr.pdb,MN,O_MN_O,79.14,O3_MN_O41,UNK_UNK_UNK,21_30_13, _A_ ,1.0_1.0_1.0,MN1O3
Mineral,Hedenbergite_0001861.Fe_33_33_A.irr.pdb,FE,O_FE_O,87.3,O1_FE_O1,UNK_UNK_UNK,7_33_18, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Sederholmite_0011582.Ni_2_2_A.irr.pdb,NI,SE_NI_SE,85.96,SE_NI_SE,UNK_UNK_UNK,11_2_1, _A_ ,1.0_1.0_1.0,NI1SE2
Mineral,Hedenbergite_0001861.Fe_33_33_A.irr.pdb,FE,O_FE_O,92.63,O1_FE_O2,UNK_UNK_UNK,7_33_23, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Hennomartinite_0001769.Mn_30_30_A.irr.pdb,MN,O_MN_O,90.23,O23_MN_O41,UNK_UNK_UNK,6_30_13, _A_ ,1.0_1.0_1.0,MN1O3
Mineral,Hedenbergite_0001861.Fe_33_33_A.irr.pdb,FE,O_FE_O,94.08,O1_FE_O2,UNK_UNK_UNK,18_33_23, _A_ ,1.0_1.0_1.0,FE1O3
Mineral,Boleite_0005684.Cu_173_173_A.spl.pdb,CU,O_CU_O,95.51,O(2)_CU_O(1),UNK_UNK_UNK,83_173_368, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Troilite_0009769.Fe_19_19_A.irr.pdb,FE,S_FE_S,84.4,S3_FE_S1,UNK_UNK_UNK,39_19_1, _A_ ,1.0_1.0_1.0,FE1S2
Mineral,Turanite_0005935.Cu1_0_0_A.oct.pdb,CU,O_CU_O,102.57,O5_CU1_O2,UNK_UNK_UNK,46_0_40, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Boleite_0005684.Cu_173_173_A.spl.pdb,CU,O_CU_O,86.11,O(2)_CU_O(2),UNK_UNK_UNK,83_173_101, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Tungstenite_0013602.W_6_6_A.irr.pdb,W,S_W_S,81.27,S1_W_S2,UNK_UNK_UNK,10_6_12, _A_ ,1.0_1.0_1.0,W1S2
Mineral,Boleite_0005684.Cu_173_173_A.spl.pdb,CU,O_CU_O,174.24,O(2)_CU_O(1),UNK_UNK_UNK,83_173_358, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Wherryite_0005365.Cu_49_49_A.trv.pdb,CU,O_CU_O,90.46,O1_CU_O7,UNK_UNK_UNK,26_49_60, _A_ ,1.0_1.0_1.0,CU1O2
Mineral,Turanite_0005935.Cu1_0_0_A.oct.pdb,CU,O_CU_O,78.94,O5_CU1_O6,UNK_UNK_UNK,46_0_47, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Bornite_0003822.Cu_6_6_A.tet.pdb,CU,S_CU_S,109.49,S_CU_S,UNK_UNK_UNK,54_6_3, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Bornite_0003822.Cu_6_6_A.tet.pdb,CU,S_CU_S,109.45,S_CU_S,UNK_UNK_UNK,54_6_8, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Turanite_0005935.Cu1_0_0_A.oct.pdb,CU,O_CU_O,101.06,O5_CU1_O6,UNK_UNK_UNK,46_0_8, _A_ ,1.0_1.0_1.0,CU1O6
Mineral,Krausite_0001008.Fe_11_11_A.oct.pdb,FE,O_FE_O,85.3,O6_FE_O6,UNK_UNK_UNK,29_11_28, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Boleite_0005684.Cu_173_173_A.spl.pdb,CU,O_CU_O,174.24,O(1)_CU_O(2),UNK_UNK_UNK,368_173_101, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Violarite_0001000.Fe_0_0_A.tet.pdb,FE,S_FE_S,109.44,S_FE_S,UNK_UNK_UNK,11_0_1, _A_ ,1.0_1.0_1.0,FE1S4
Mineral,Bornite_0003822.Cu_6_6_A.tet.pdb,CU,S_CU_S,109.45,S_CU_S,UNK_UNK_UNK,54_6_7, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Boleite_0005684.Cu_173_173_A.spl.pdb,CU,O_CU_O,82.35,O(1)_CU_O(1),UNK_UNK_UNK,368_173_358, _A_ ,1.0_1.0_1.0,CU1O4
Mineral,Krausite_0001008.Fe_11_11_A.oct.pdb,FE,O_FE_O,86.33,O6_FE_O7,UNK_UNK_UNK,29_11_12, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Bornite_0003822.Cu_6_6_A.tet.pdb,CU,S_CU_S,109.49,S_CU_S,UNK_UNK_UNK,3_6_8, _A_ ,1.0_1.0_1.0,CU1S4
Mineral,Schwertmannite_0018670.Fe_79_79_A.pyv.pdb,FE,O_FE_O,72.19,O_FE_O,UNK_UNK_UNK,16_79_93, _A_ ,1.0_1.0_1.0,FE1O4
Mineral,Krausite_0001008.Fe_11_11_A.oct.pdb,FE,O_FE_O,91.32,O6_FE_O4,UNK_UNK_UNK,29_11_24, _A_ ,1.0_1.0_1.0,FE1O6
Mineral,Troilite_0009769.Fe_25_25_A.irr.pdb,FE,S_FE_S,85.96,S2_FE_S1,UNK_UNK_UNK,44_25_1, _A_ ,1.0_1.0_1.0,FE1S2
Mineral,Violarite_0001000.Fe_0_0_A.tet.pdb,FE,S_FE_S,109.49,S_FE_S,UNK_UNK_UNK,11_0_6, _A_ ,1.0_1.0_1.0,FE1S4
