,index,envComp,geo,gRMSD,valence,type,pdb,Binding_motif
0,104,CO1O6,oct,0.11357816691600546,0.41461557909872676,"Mineral,Protein","['1a0c', '1hv9', '1k1e', '1rrk', '1tu4', '1y6v', '2dds', '2j4j', '2qb7', '2vos', '2yye', '3az6', '3rgt', '3w45', '3zr9', '4a8i', '4a8l', '4a8n', '4a8r', '4g3p', '4g3q', '4g3s', '4g87', '4jka', '4ngk', '4ngl', '4ngo', '4tzb', '5ero', 'Heterogenite-0014459', 'Metakirchheimerite-0005993', 'Spherocobaltite-0000104']","63.0,187.0,333.0,359.0,500.0,510.0,554.0,602.0,734.0,770.0,977.0,1072.0,1150.0,1162.0,1212.0,1327.0,1407.0,1445.0,1480.0,1602.0"
1,241,CU1O2,lin,0.32910484651551397,0.08899438184514795,"Mineral,Protein","['3tyh', '4zk8', 'Cuprite-0007351', 'Delafossite-0000018']","552.0,1136.0"
2,242,CU1O2,trv,0.11927537627111215,0.5169914446547001,"Mineral,Protein","['3re7', '3tyh', '3x1e', '4zk8', 'Dioptase-0008642', 'Frankhawthorneite-0005433', 'Joteite-0019980', 'Lithidionite-0000464', 'Litidionite-0000464', 'Nissonite-0001329', 'Papagoite-0014616', 'Radovanite-0012037', 'Stranskiite-0010699', 'Tenorite-0011639', 'Trippkeite-0015655', 'Turanite-0005935', 'Urusovite-0012367', 'Wherryite-0005365', 'Wooldridgeite-0005593']","23.0,346.0,552.0,1136.0"
3,245,CU1O3,spv,0.21691645224082765,0.3193649261330305,"Mineral,Protein","['3tyh', 'Arthurite-0014708', 'Birchite-0004585', 'Cuprosklodowskite-0000461', 'Diaboleite-0005469', 'Kusachiite-0012142', 'Leningradite-0006144', 'Lithidionite-0000464', 'Litidionite-0000464', 'Marthozite-0005722', 'Ransomite-0000203']",552.0
4,246,CU1O3,tev,0.18961897885722603,0.4563030791042286,"Mineral,Protein","['3x1e', '3x1f', '4zk8', 'Campigliaite-0000866', 'Dioptase-0008642', 'Namibite-0002512', 'Scottyite-0010169']","315.0,1136.0"
5,248,CU1O4,pyv,0.15062614412550582,0.3059399691212025,"Mineral,Protein","['2fk3', '3tyh', '4zk8', 'Clinochalcomenite-0018480', 'Duftite-0020488', 'Johannite-0015685', 'Liroconite-0010249', 'Lithidionite-0000464', 'Litidionite-0000464', 'Mottramite-0005468', 'Namibite-0002512', 'Szenicsite-0014535', 'Trippkeite-0015655', 'Turanite-0005935', 'Vesignieite-0011973', 'Wherryite-0005365']","455.0,552.0,1231.0"
6,250,CU1O5,spy,0.10560073461636123,0.47797122665124253,"Mineral,Protein","['3wnj', '3x1f', '4zk8', 'Agaite-0019782', 'Chalcomenite-0019225', 'Khaidarkanite-0019201', 'Liroconite-0010249', 'Lithidionite-0000464', 'Litidionite-0000464', 'Papagoite-0014616', 'Radovanite-0012037', 'Scottyite-0010169', 'Sengierite-0012070', 'Spertiniite-0010212', 'Urusovite-0012367', 'Vandenbrandeite-0012336']",315.0
7,251,CU1O6,oct,0.148047150802572,0.5209582061275603,"Mineral,Protein","['2fk3', '3x1g', 'Ashburtonite-0001412', 'Aubertite-0009692', 'Caledonite-0006294', 'Callaghanite-0000388', 'Campigliaite-0000866', 'Chenite-0015326', 'Conichalcite-0010485', 'Deloryite-0012779', 'Dioptase-0008642', 'Frankhawthorneite-0005433', 'Guildite-0000661', 'Hentschelite-0010052', 'Housleyite-0017559', 'Iranite-0010340', 'Jacquesdietrichite-0007064', 'Khaidarkanite-0019201', 'Krohnkite-0009535', 'Leisingite-0005525', 'Linarite-0006293', 'Lindgrenite-0014795', 'Markascherite-0018649', 'Metazeunerite-0005833', 'Mottramite-0005468', 'Mushistonite-0013333', 'Namibite-0002512', 'Nissonite-0001329', 'Roubaultite-0010005', 'Rruffite-0018388', 'Szenicsite-0014535', 'Tenorite-0011639', 'Torbernite-0005830', 'Trippkeite-0015655', 'Turanite-0005935', 'Turquoise-0010612', 'Vesignieite-0011973', 'Volborthite-0018666', 'Wherryite-0005365', 'Zeunerite-0005831']","315.0,455.0"
8,256,CU1S2,trv,0.19835548109381224,0.13154454057646517,"Mineral,Protein","['1aqr', '1aqs', '1fvs', '1k0v', '1kqk', '1s6u', '1uux', '1uuy', '2b7j', '2c9p', '2xmw', '3kss', '3nt0', '4rkm', 'Aikinite-0009395', 'Bornite-0003822', 'Briartite-0014274', 'Catamarcaite-0006132', 'Chalcopyrite-0018622', 'Chalcostibite-0003673', 'Covellite-0015657', 'Cubanite-0001533', 'Digenite-0000082', 'Emplectite-0003674', 'Krupkaite-0014750', 'Miharaite-0012478', 'Stannite-0010546', 'Sulvanite-0000146']","76.0,101.0,331.0,520.0,565.0,575.0,583.0,644.0,1535.0"
9,258,CU1S3,tev,0.19988806391387678,0.18497104020436742,"Mineral,Protein","['3nt0', '3sbp', '3sbq', '3sbr', 'Bornite-0003822', 'Catamarcaite-0006132']","14.0,814.0"
