envComp,gRMSD,valence,type,mineral,amcsdID,atomName,resNum,atomNum,chain,geo,pdb_Min,pdb_Pro
FE1SI3,nan,0.00,Mineral,Naquite,0008632,FE,4,4,A,irr,Naquite-0008632,nan
CU1O4,0.21,0.77,Mineral,Boleite,0005684,CU,173,173,A,spl,Boleite-0005684,nan
FE1SB3,nan,0.00,Mineral,Gudmundite,0000020,FE,6,6,A,irr,Gudmundite-0000020,nan
MN1O2,nan,0.23,Mineral,Groutite,0013941,MN,7,7,A,irr,Groutite-0013941,nan
CU1S3,nan,0.20,Mineral,Djerfisherite,0006153,CU,118,118,A,irr,Djerfisherite-0006153,nan
V1O2,nan,0.71,Mineral,Duttonite,0009204,V,5,5,A,irr,Duttonite-0009204,nan
CU1O4,0.15,0.50,Mineral,Trippkeite,0015655,CU,16,16,A,pyv,Trippkeite-0015655,nan
CO1O6,0.05,0.32,Mineral,Spherocobaltite,0000104,CO,4,4,A,oct,Spherocobaltite-0000104,nan
MO1S2,nan,0.72,Mineral,Molybdenite,0011823,MO,3,3,A,irr,Molybdenite-0011823,nan
FE1O2,nan,0.58,Mineral,Ferrocarpholite,0017757,FE,15,15,A,irr,Ferrocarpholite-0017757,nan
MN1O3,nan,1.59,Mineral,Hennomartinite,0001769,MN,30,30,A,irr,Hennomartinite-0001769,nan
V1O6,0.34,1.60,Mineral,Haggite,0000094,V,0,0,A,oct,Haggite-0000094,nan
CU1O6,0.60,1.94,Mineral,Campigliaite,0000866,CU,2,2,A,oct,Campigliaite-0000866,nan
FE1O6,0.15,1.92,Mineral,Corkite,0014810,FE,10,10,A,oct,Corkite-0014810,nan
FE1O3,nan,0.70,Mineral,Hedenbergite,0001861,FE,33,33,A,irr,Hedenbergite-0001861,nan
FE1O5,nan,6.05,Mineral,Strontio-orthojoaquinite,0014113,FE,41,41,A,irr,Strontio-orthojoaquinite-0014113,nan
NI1SE2,nan,0.38,Mineral,Sederholmite,0011582,NI,2,2,A,irr,Sederholmite-0011582,nan
FE1S2,nan,0.50,Mineral,Troilite,0009769,FE,19,19,A,irr,Troilite-0009769,nan
CU1O6,0.39,0.85,Mineral,Turanite,0005935,CU,0,0,A,oct,Turanite-0005935,nan
CU1S4,0.00,0.32,Mineral,Bornite,0003822,CU,6,6,A,tet,Bornite-0003822,nan
FE1O4,0.63,0.77,Mineral,Schwertmannite,0018670,FE,79,79,A,pyv,Schwertmannite-0018670,nan
FE1O6,0.11,1.97,Mineral,Krausite,0001008,FE,11,11,A,oct,Krausite-0001008,nan
FE1O3,nan,0.95,Mineral,Jarosite,0014420,FE,42,42,A,irr,Jarosite-0014420,nan
W1S2,nan,1.93,Mineral,Tungstenite,0013602,W,6,6,A,irr,Tungstenite-0013602,nan
FE1S4,0.00,0.81,Mineral,Violarite,0001000,FE,0,0,A,tet,Violarite-0001000,nan
FE1S2,nan,0.66,Mineral,Troilite,0009769,FE,25,25,A,irr,Troilite-0009769,nan
CU1O2,0.77,0.45,Mineral,Wherryite,0005365,CU,49,49,A,trv,Wherryite-0005365,nan
