id, type
4rh1,1
1i94,1
5d8y,1
1jnr,1
3vca,1
2fgo,1
4d6u,1
2y41,1
4z3y,1
3et5,1
Ungemachite-0001035,0
1fqt,1
3h1j,1
1gx1,1
4mr0,1
2gso,1
1m6v,1
1aop,1
1m6p,1
3ot9,1
Stenhuggarite-0009591,0
3i9v,1
3cr9,1
4pcl,1
4nbd,1
5cdr,1
3vmg,1
2v3b,1
3bz9,1
1xdb,1
3rgd,1
2ji1,1
1nzc,1
3aeq,1
2ixl,1
3hwg,1
3i0a,1
2h88,1
2i0k,1
4toh,1
3l9q,1
2nuk,1
Heterogenite-0014459,0
1ofe,1
1zxi,1
3rl3,1
2i6q,1
3tmy,1
1r30,1
3nt0,1
4wzb,1
Chalcostibite-0003673,0
1n60,1
1h0h,1
3bvi,1
1n2c,1
3szu,1
1aqr,1
4ar5,1
2ji2,1
Sternbergite-0014818,0
1h9k,1
4qup,1
3l74,1
3sxb,1
3geo,1
1e9m,1
4juq,1
Beaverite-0014860,0
2wu5,1
4s27,1
4s3b,1
3zf3,1
4uhx,1
2zt9,1
2gbx,1
3nte,1
1wuk,1
8prk,1
4wp8,1
2w55,1
Harstigite-0010962,0
2w69,1
2xmw,1
2whx,1
3etr,1
1lev,1
4eht,1
2qd3,1
1uvm,1
2ciz,1
3fxl,1
4iwj,1
3m5q,1
2r13,1
2yfj,1
4u9h,1
4wcx,1
1e9v,1
3h1h,1
3k6x,1
2qjy,1
2fah,1
Housleyite-0017559,0
4z3z,1
1ulj,1
4cmq,1
5er8,1
1hhs,1
4s38,1
Theophrastite-0011791,0
4lfi,1
1dvb,1
1frv,1
1j7c,1
2x7j,1
4y0h,1
2jck,1
2bfb,1
3myr,1
1oa1,1
1yfy,1
Roeblingite-0000963,0
1i6q,1
3aet,1
1wlj,1
1ucg,1
4frl,1
2lel,1
5bzx,1
Ramsdellite-0003565,0
3dqy,1
3h0r,1
3h8f,1
1i97,1
2d3y,1
Stewartite-0000432,0
4f7i,1
1h7w,1
3foo,1
1kek,1
4zjk,1
Mozartite-0001932,0
1l6v,1
5byq,1
1qt9,1
3li2,1
1fiq,1
1h1l,1
4wfa,1
3tc3,1
1brf,1
3egw,1
1wtf,1
3iam,1
Ransomite-0000203,0
1y6v,1
1o94,1
1b2j,1
3ree,1
3exe,1
3zhx,1
4awh,1
2chr,1
3lzq,1
1q05,1
1uvi,1
3l24,1
5c38,1
1o7g,1
2wp9,1
2brl,1
1h9s,1
1zj2,1
1xer,1
4y6r,1
4iwk,1
3kbn,1
3ze9,1
1itw,1
3fah,1
Iranite-0010340,0
1kg4,1
4x33,1
Carpholite-0014762,0
Wustite-0011314,0
3e84,1
1m1n,1
1l5g,1
Krausite-0001008,0
5aa5,1
1rgv,1
3b0m,1
1fri,1
1hfe,1
4k9f,1
4toa,1
4g87,1
3j16,1
1g1m,1
4fhe,1
1nvk,1
3nbp,1
3fjw,1
4ud2,1
4gmm,1
1mjh,1
1kg6,1
3gyx,1
1ayf,1
1ypp,1
5c4f,1
2jih,1
3cg3,1
2nap,1
1eg9,1
3l70,1
Strunzite-0015670,0
4xiy,1
2wcx,1
1zar,1
4a9v,1
4gfr,1
3rvr,1
1d8h,1
3fxo,1
1cq9,1
1yjt,1
3kyv,1
4tpu,1
1kg7,1
Ojuelaite-0014519,0
1yd0,1
3ir7,1
Phosphosiderite-0012325,0
2xwy,1
1els,1
2phn,1
1xdy,1
1frh,1
1hux,1
1pj4,1
3un5,1
3fhi,1
2ga7,1
3rz6,1
4ur0,1
5c4b,1
5a66,1
3q36,1
4ogc,1
1ohd,1
2gui,1
4nx6,1
1on8,1
1yjv,1
4pgz,1
1kgz,1
4gij,1
1jrp,1
Stromeyerite-0009855,0
4itk,1
2xmt,1
2rdv,1
3n0z,1
3zwu,1
1h9j,1
3b9j,1
3l71,1
Iriginite-0005691,0
1ep1,1
Scheelite-0013201,0
1wyg,1
3rvk,1
3gzg,1
1gww,1
4fhd,1
Lindgrenite-0014795,0
3mmb,1
6gep,1
1p84,1
1a6l,1
3n5n,1
5a4m,1
1o7p,1
3n25,1
2ojw,1
3b52,1
Digenite-0000082,0
3mm7,1
1b13,1
3uqy,1
2e75,1
Molybdenite-0011823,0
Sideronatrite-0020665,0
1ubk,1
1tv7,1
Garavellite-0014648,0
Davreuxite-0000955,0
3a9t,1
2qey,1
4ykh,1
1imc,1
3hco,1
2e7z,1
1lkp,1
1yyd,1
1uvn,1
2hrc,1
5c15,1
3una,1
4k9r,1
3ir6,1
4jye,1
2ciy,1
4wf9,1
2wdr,1
Goethite-0010471,0
2vbm,1
3pza,1
1yqw,1
1wbf,1
3cx5,1
1kqk,1
1siw,1
1nip,1
3f7t,1
4rag,1
2qh7,1
2b76,1
1h2r,1
1llz,1
3zx5,1
2nve,1
1yfw,1
3mmu,1
3ka8,1
4iud,1
4hi1,1
4ngo,1
3cb8,1
4ml5,1
3fm1,1
2jd8,1
4usa,1
4isp,1
4uqp,1
Duftite-0020488,0
1pp9,1
1n5w,1
2zvs,1
1fgg,1
3m8z,1
4ox2,1
3rl4,1
3eub,1
2pvd,1
Bartelkeite-0019471,0
1krh,1
1xlo,1
3vkt,1
3b0h,1
Ashburtonite-0001412,0
Arthurite-0014708,0
7fd1,1
1vcx,1
4e1f,1
3ze6,1
1uzi,1
4f28,1
2oi6,1
Namibite-0002512,0
Helvine-0000973,0
Guildite-0000661,0
4us9,1
5cdo,1
4e7z,1
3tbm,1
3rzt,1
3qhb,1
3t0g,1
4rb4,1
5bxc,1
Spessartine-0002781,0
4nb8,1
5cov,1
3rvs,1
7gep,1
5c1h,1
1pdx,1
1g3o,1
3bcc,1
2uw1,1
1jyb,1
1kqf,1
4zwo,1
Sinkankasite-0001744,0
1jro,1
4wfb,1
4fe1,1
1jb0,1
3cwb,1
4uhw,1
1fo4,1
2pya,1
Tusionite-0005417,0
3moh,1
4s39,1
4njk,1
2j5s,1
1wgi,1
1yfx,1
3lx4,1
4gmz,1
Tungstite-0005199,0
Curienite-0012133,0
3szl,1
5fje,1
Troilite-0009769,0
4ayb,1
3ori,1
2bh2,1
1i19,1
4mjy,1
3mma,1
4dec,1
Ferrocarpholite-0017757,0
3zxs,1
4nbh,1
1jmz,1
2vfz,1
3llm,1
1l0n,1
1upx,1
4db1,1
2wod,1
4ehu,1
3h1k,1
1r7y,1
1ir0,1
1awd,1
4s28,1
4upv,1
3sfd,1
1ckj,1
1oqr,1
1tu4,1
4s3e,1
3tbn,1
1ntm,1
4us8,1
4qdc,1
3git,1
Amakinite-0011783,0
2jir,1
3f9a,1
3h8g,1
1nr0,1
2hr6,1
2n0s,1
1fhh,1
Barysilite-0009300,0
3m8w,1
1m4z,1
Deloryite-0012779,0
1uli,1
3bdj,1
Sidorenkite-0015607,0
2ynm,1
3hcp,1
Pucherite-0012027,0
2c2u,1
2puk,1
2c42,1
Shigaite-0005480,0
1f5c,1
1q0p,1
4s3a,1
3iiz,1
3ax9,1
1a3x,1
Mushistonite-0013333,0
1h9m,1
5d8p,1
2bt6,1
2bj9,1
2fkz,1
1ru3,1
4mdz,1
2d1g,1
3vm0,1
1a0o,1
4rcv,1
1qw0,1
2vsf,1
2h5y,1
3aef,1
3ze7,1
1dfl,1
1z02,1
2ush,1
4iub,1
5dii,1
3mps,1
3szo,1
6fd1,1
2g50,1
1c96,1
4zl5,1
2qd1,1
3iu7,1
3i39,1
1c09,1
4pl1,1
Vaesite-0010990,0
4gji,1
Cavansite-0019718,0
3fm4,1
2jcj,1
1yd4,1
4rzy,1
3sxd,1
Schubnelite-0002221,0
2o01,1
1ffu,1
4p1b,1
3lzr,1
2pyb,1
2ows,1
3fwy,1
Groutellite-0003566,0
1ut5,1
4k36,1
1pc4,1
3a9r,1
1po3,1
Blossite-0001075,0
1muc,1
3a38,1
2min,1
2b24,1
4oo7,1
Pyrobelonite-0000071,0
3nrz,1
4kn9,1
2e6c,1
1r89,1
5a4f,1
Greigite-0000127,0
Spiroffite-0005504,0
4uew,1
5c8r,1
2rar,1
3cus,1
2civ,1
2puo,1
1b0p,1
4wza,1
3mm9,1
1vk2,1
Metakahlerite-0005992,0
4s23,1
3urk,1
3fxm,1
Caledonite-0006294,0
3rbc,1
1b0k,1
3un3,1
Mawbyite-0014531,0
1qgq,1
4rap,1
4ko4,1
1b0t,1
1c97,1
1kz8,1
5c36,1
3crv,1
3w1w,1
1jlk,1
3n0y,1
2why,1
1bcc,1
Paulkellerite-0001191,0
Morenosite-0010551,0
4z3w,1
1uvl,1
3b0g,1
2a06,1
1g6b,1
1rie,1
1l0v,1
4p6v,1
2yiu,1
2b3y,1
3e6s,1
1gte,1
1cw3,1
4lil,1
Aikinite-0009395,0
Turanite-0005935,0
4xpi,1
3b0l,1
Kombatite-0001661,0
4n58,1
2c9p,1
2zad,1
3f9b,1
4gil,1
3uv7,1
2qd4,1
Murmanite-0012444,0
Tenorite-0011639,0
1yrq,1
1gx7,1
Mangangordonite-0014828,0
1atg,1
1ui1,1
4d6t,1
1xd9,1
4k39,1
4yry,1
Joteite-0019980,0
4udx,1
2km0,1
Chalcomenite-0019225,0
4qur,1
3h3x,1
3p1m,1
1e0z,1
2num,1
2qd0,1
4zmc,1
4g3s,1
2jim,1
2vkr,1
4u9n,1
1vnh,1
1mq9,1
3cfz,1
1h2a,1
Ronneburgite-0002672,0
4n7b,1
Kastningite-0011083,0
3az6,1
3uof,1
3m0k,1
4ue2,1
1fdi,1
1lby,1
1rfs,1
1ncy,1
5c4i,1
2vic,1
3w42,1
1g15,1
4g2c,1
1j9l,1
2ic3,1
3en1,1
1wef,1
Bismutoferrite-0015576,0
1f9c,1
4upe,1
5a68,1
3qvd,1
1w9m,1
4emj,1
1lzi,1
3sfe,1
1ytw,1
3h1l,1
1xd8,1
1hlq,1
4g9p,1
3w45,1
3h1c,1
3vmi,1
4gbv,1
2y40,1
1gug,1
1vzi,1
4itw,1
Magnesiocoulsonite-0015787,0
3q2v,1
Despujolsite-0018458,0
3r2l,1
2pvg,1
2jdz,1
3ke8,1
Vandenbrandeite-0012336,0
4w8y,1
2bb7,1
3zez,1
1o7m,1
3ka6,1
3tal,1
Nissonite-0001329,0
4ngk,1
Manganosite-0008240,0
1w2z,1
4aic,1
1qlb,1
4y67,1
4raf,1
1n61,1
4u0p,1
Tienshanite-0005580,0
4toc,1
3ktc,1
1yji,1
3av8,1
3p4q,1
4c7z,1
4s25,1
5frt,1
1xlq,1
Strontio-orthojoaquinite-0014113,0
2vpz,1
3a6v,1
Segelerite-0000583,0
2v4j,1
4ucq,1
1b71,1
4nbf,1
3mkd,1
3ig1,1
Groutite-0013941,0
3r5u,1
4y63,1
1htq,1
3o3m,1
2pda,1
4f4d,1
Brunogeierite-0014558,0
1uux,1
3vlx,1
3hrd,1
4usz,1
4dqw,1
2gw4,1
1kmp,1
3mx6,1
4njh,1
3fa3,1
4rqo,1
3r3l,1
Retzian-0000161,0
4lrf,1
4ba9,1
2hzy,1
4psy,1
3gl2,1
2bvl,1
2yaj,1
3qn1,1
3idc,1
4ltu,1
3gl0,1
3tr8,1
Wilhelmkleinite-0011085,0
3aek,1
5fpu,1
3p4p,1
1z01,1
4unf,1
4f2c,1
Vesignieite-0011973,0
1sqb,1
3egm,1
4fxc,1
4nbb,1
4e7s,1
1blu,1
1weg,1
2i34,1
5c1l,1
1rb9,1
3vm1,1
3h1i,1
4xdd,1
2okn,1
4b02,1
Briartite-0014274,0
4c3o,1
1f37,1
1llw,1
1z7m,1
1jnz,1
1n63,1
1gt8,1
3ka4,1
1wuj,1
3lzd,1
1i7h,1
5cx1,1
2auv,1
2qjp,1
4jyd,1
4s26,1
3bvf,1
1p8p,1
1e24,1
1twf,1
4a8r,1
3pcq,1
2afi,1
Pyrolusite-0011760,0
1doy,1
4ra2,1
4eia,1
4mmy,1
1d3w,1
1yk5,1
2vpx,1
4knw,1
5a67,1
4itt,1
2ji3,1
1ryt,1
1oyw,1
Wooldridgeite-0005593,0
2xmk,1
1dax,1
Ferberite-0000231,0
1e3p,1
4ucx,1
1e2u,1
1e3d,1
1x7y,1
3wpm,1
4bvp,1
1rju,1
4u9i,1
3kn8,1
1sq3,1
1mjg,1
1h98,1
3zyv,1
Hennomartinite-0001769,0
Ferrotychite-0012463,0
3vkq,1
1x7w,1
2bwx,1
3eun,1
3gw8,1
1o7q,1
Marcasite-0000008,0
4mxr,1
1frl,1
2fbv,1
1fez,1
1fdn,1
4rkm,1
3rva,1
Gudmundite-0000020,0
2rj5,1
Boleite-0005684,0
2hy3,1
1ubu,1
2wu2,1
4mv5,1
5a3p,1
2qpz,1
3ioj,1
Blythite-0008167,0
1k0t,1
4kx6,1
6fdr,1
4ur1,1
1wsg,1
2vju,1
1dur,1
1kg5,1
1zj9,1
1zle,1
4yrw,1
1smw,1
4m7s,1
4ud6,1
3kel,1
2qc8,1
2o68,1
Wulfenite-0014900,0
3kyx,1
3fjq,1
1yd2,1
3rvq,1
1yv3,1
1muy,1
2v0s,1
1fxa,1
2v45,1
3c8y,1
2vkd,1
2hml,1
3wnj,1
1o9r,1
4d4p,1
3ioi,1
1jq4,1
3re7,1
2hmo,1
4e1d,1
Chalcophanite-0001204,0
Gladite-0006075,0
Rruffite-0018388,0
4nbe,1
1t3q,1
1wei,1
5aop,1
3psn,1
5c47,1
2kkd,1
3zhy,1
1p8r,1
1jjc,1
1ftc,1
3g3r,1
1ntk,1
4lr8,1
3uv3,1
4fhc,1
2ivo,1
1x71,1
1zjo,1
1qoa,1
4awk,1
1fsa,1
1wgj,1
3amz,1
Parabutlerite-0012131,0
2fje,1
1loa,1
1zp9,1
2bws,1
2yes,1
1w2d,1
